question,single_extractive,multi_extractive,single_abstractive,multi_abstractive
would you help me to fine article or jurnal about Cri du chat syndrome,"Cri du chat syndrome refers to a group of symptoms that result in the deletion of a piece of chromosome 5. Cri du chat syndrome is a group of symptoms that result from missing a piece of chromosome number 5. The syndrome's name is based on the infant's cry, which is high-pitched and sounds like a cat.",Here is the citation for a review article of cri-du-chat syndrome: Cerruti Mainardi P. Cri du Chat syndrome. Cri du chat syndrome (Causes): Cri du chat syndrome is rare. cri-du-chat syndrome (Sources for This Page): Cerruti Mainardi P. Cri du Chat syndrome. Cri du chat syndrome is a rare syndrome caused by the deletion of a piece of chromosome 5. Cri du chat syndrome refers to a group of symptoms that result in the deletion of a piece of chromosome 5.,the afflicted infant's cry is a chromosome 5. it's french for the sound of the afflicted infant's cry.,the syndrome's name is french for the sound of the afflicted infant's cry. it is caused by a missing piece of chromosome 5. the deletion is believed to occur during the development of the egg or sperm.
what is the cause of ocd,The cause of obsessive-compulsive disorder isn't fully understood. The causes of obsessive-compulsive disorder are unknown. The risk factors may be the  changes in the body's own natural chemistry or brain functions; genetics; and environmental factors such as infections.,The cause of obsessive-compulsive disorder isn't fully understood. Having parents or other family members with the disorder can increase your risk of developing OCD. The causes of obsessive-compulsive disorder are unknown. The risk factors may be the  changes in the body's own natural chemistry or brain functions; genetics; and environmental factors such as infections. OCD may be a result of changes in your body's own natural chemistry or brain functions.,the risk factors may be changes in the body's natural chemistry or brain functions.,"the cause of obsessive-compulsive disorder isn't fully understood. the risk factors may be changes in your body's natural chemistry or brain functions. a genetic component may have a genetic component, but specific genes have yet to be identified."
My daughter has menkes syndrome and would like to know how to go about. Thx,"In Menkes syndrome, cells in the body can absorb copper, but they are unable to release it. Copper can build up in the small intestine and kidneys, but low copper levels in other areas can affect the structure of bone, skin, hair, and blood vessels, and interfere with nerve function. Copper can build up in the small intestine and kidneys, but low copper levels in other areas can affect the structure of bone, skin, hair, and blood vessels, and interfere with nerve function.","The disrupted activity of the ATP7A protein causes copper to be poorly distributed to cells in the body. It is characterized by sparse, kinky hair; failure to gain weight and grow at the expected rate (failure to thrive); and deterioration of the nervous system. Children with Menkes syndrome typically begin to develop symptoms during infancy and often do not live past age 3. Children with Menkes syndrome typically begin to develop symptoms during infancy and often do not live past age 3. In Menkes syndrome, cells in the body can absorb copper, but they are unable to release it.",menkes syndrome is caused by a defect in the ATP7A gene. the defect makes it hard for the body to distribute copper into food. the brain and other parts of the body do not get enough copper.,menkes syndrome is caused by a defect in the ATP7A gene. the defect makes it hard for the body to distribute copper into the bloodstream. the defect makes it hard for the body to distribute copper into other areas.
"Treatment for optic nerve atrophy.    Hello Name's case : Sex : Male  Date of Birth : 1964 Nationality : X Diagnosis :  optic nerve atrophy .  i am suffering from optic atrophy, which led to loss of vision and inability to see, I suffer from this case from 1998 saluting suffered a fall on the head, which led to began this case even lost look, and have been performed process surgery in  in 1998-1999 .  And then in 2009 cured by reactive optic nerve by Russian Professor .   i want know you hospital have treatment for optic nerve atrophy , and what this treatment  i need more information about treatment of optic nerve because now  16 years old I can not vision, and I wish  could belive hope for treatment of my case. And i want know the cost of treatment . Thank you  Regards /","Damage from optic nerve atrophy cannot be reversed. If the underlying disease causing the damage to the optic nerve is not diagnosed, vision loss will continue. Rarely, conditions that lead to optic atrophy may be treatable.","Damage from optic nerve atrophy cannot be reversed. If the underlying disease causing the damage to the optic nerve is not diagnosed, vision loss will continue. Rarely, conditions that lead to optic atrophy may be treatable. The underlying disease must be found and treated. In rare cases this is treatable.",i want know you hospital have treatment for optic nerve atrophy. i want know the cost of treatment.,"i want know you hospital have treatment for optic nerve atrophy. i want know the cost of treatment. if the underlying disease causing the damage to the optic nerve is not diagnosed, vision loss will continue."
how is hemophilia treated,"Some people with mild hemophilia A may be treated with desmopressin (DDAVP). People with mild or moderate hemophilia A may be treated with replacement therapy as needed (for example, when a specific bleeding episode occurs). Hemophilia A (Treatment): People with inherited hemophilia A require life-long care, preferably through a specialized hemophilia treatment center.","How much you get depends on: - Severity of bleeding - Site of bleeding - Your weight and height Mild hemophilia may be treated with desmopressin (DDAVP). Mild hemophilia may be treated with desmopressin (DDAVP). Some people with mild hemophilia A may be treated with desmopressin (DDAVP). The blood is treated to prevent the spread of diseases, such as hepatitis. The main treatment for hemophilia is called replacement therapy.",hemophilia A is inherited by a clotting factor. it is not known if you have inherited hemophilia A. the treatment center usually works well.,"treatment involves replacing missing clotting factor VII. if you have inherited hemophilia A, you will need life-long care. if you have inherited hemophilia, you may only need treatment when a bleeding episode occurs."
what does kidney disease look like,"The following organizations provide good resources for information on kidney disease: www.niddk.nih.gov/health-information/kidney-disease, .kidney.org, www.kidneyfund.org, www.healthinaging.org/aging-and-health-a-to-z/topic:kidney-problems/ The following organizations are good resources for information on kidney disease: - National Institute of Diabetes and Digestive and Kidney Disease -- www.niddk.nih.gov/health-information/kidney-disease - National Kidney Foundation -- www.kidney.org - American Kidney Fund -- www.kidneyfund.org - American Geriatrics Society's Health in Aging Foundation -- www.healthinaging.org/aging-and-health-a-to-z/topic:kidney-problems/ Updated by: Jennifer K. Mannheim, ARNP, Medical Staff, Department of Psychiatry and Behavioral Health, Seattle Children's Hospital, Seattle, WA. Editorial team. Also reviewed by David Zieve, MD, MHA, Medical Director, Brenda Conaway, Editorial Director, and the A.D.A.M.",Diabetic kidney disease is a type of kidney disease caused by diabetes. Diabetic kidney disease is a type of kidney disease caused by diabetes. Diabetes is the leading cause of kidney disease. Diabetes is the leading cause of kidney disease. Polycystic kidney disease symptoms can include: - High blood pressure - Back or side pain - Headache - A feeling of fullness in your abdomen - Increased size of your abdomen due to enlarged kidneys - Blood in your urine - Kidney stones - Kidney failure - Urinary tract or kidney infections It's not uncommon for people to have polycystic kidney disease for years without knowing it.,kidney disease is a disease that can cause kidney disease. the kidney disease is a disease that can cause kidney disease.,"kidney disease is a type of kidney disease caused by diabetes. kidney damage usually occurs slowly, over many years. only way to know if you have diabetic kidney disease is to get your kidneys checked."
how is epidural harmful,This is also rare. Many studies have shown that epidural is a safe way to manage pain during childbirth. Many studies have shown that an epidural is a safe way to manage pain during childbirth.,This is also rare. This is also rare. Many studies have shown that epidural is a safe way to manage pain during childbirth. Many studies have shown that epidural is a safe way to manage pain during childbirth. Many studies have shown that an epidural is a safe way to manage pain during childbirth.,epidural may change your labor and delivery. other rare side effects include a headache with the epidural.,"epidural may change your labor and delivery. if this occurs, you will receive fluids through an intravenous line. this may change your labor and delivery."
Polycystic ovarian syndrome Is it possible for parents to pass this on in the genes to their children - is there any other way this can be acquired?,"The cause of PCOS is unknown, but probably involves a combination of genetic and environmental factors The cause of PCOS is unknown, but probably involves a combination of genetic and environmental factors","The cause of PCOS is unknown, but probably involves a combination of genetic and environmental factors The cause of PCOS is unknown, but probably involves a combination of genetic and environmental factors","polycystic ovarian syndrome is a polycystic ovarian syndrome. it is possible for parents to pass this on in the genes to their children. the cause of PCOS is unknown, but probably involves a combination of genetic and environmental factors.","polycystic ovarian syndrome Is it possible for parents to pass this on in the genes to their children? the cause of PCOS is unknown, but probably involves a combination of genetic and environmental factors."
what is the disorder achondroplasia,"Achondroplasia is a disorder of bone growth that causes the most common type of dwarfism. Achondroplasia is a disorder of bone growth that causes the most common type of dwarfism. Achondroplasia may be inherited as an autosomal dominant trait, which means that if a child gets the defective gene from 1 parent, the child will have the disorder.",Achondroplasia is a disorder of bone growth that causes the most common type of dwarfism. Achondroplasia is a disorder of bone growth that causes the most common type of dwarfism. Achondroplasia is a disorder of bone growth that prevents the changing of cartilage (particularly in the long bones of the arms and legs) to bone. Achondroplasia is a disorder of bone growth that prevents the changing of cartilage (particularly in the long bones of the arms and legs) to bone. Achondroplasia is caused by mutations in the FGFR3 gene.,"achondroplasia is inherited as an autosomal dominant trait. if a child gets the defective gene from 1 parent, the child will have the disorder. achondroplasia is a typical appearance of achondroplastic dwarfism.","achondroplasia is inherited as an autosomal dominant trait. it means that if a child gets the defective gene from 1 parent, the child will have the disorder. achondroplasia is a disorder of bone growth that prevents the changing of cartilage (particularly in the long bones of the arms and legs) to bone."
"Angelman syndrome. Can a person with Angelman Syndrome have children? If so, can the disorder be passed on to offspring?","Rarely, a genetic change responsible for Angelman syndrome can be inherited. Angelman syndrome is rarely inherited from a parent. Affected people typically have no history of the disorder in their family.","Rarely, a genetic change responsible for Angelman syndrome can be inherited. Rarely, a genetic change responsible for Angelman syndrome can be inherited. Offspring of people with a family history of Angelman syndrome may  be at an increased risk of developing the disorder. Most people with Angelman syndrome don't have a family history of the disease. Most people with Angelman syndrome don't have a family history of the disease.",can a person with Angelman syndrome have children? can the disorder be passed on to offspring?,"Angelman syndrome is rarely inherited from a parent. most cases of Angelman syndrome are not inherited, particularly those caused by a deletion in the maternal chromosome 15 or by paternal uniparental disomy. genetic changes occur as random events during the formation of reproductive cells (eggs and sperm) or in early embryonic development."
Asking about Hairy cell leukemia I get report for my father from hospital it is saying that he have Hairy cell leukemia i am here to ask if this dissease dangerous and there is treatment for it  Also if The one who have it will live for long or not ?  My father age is 55  We discover the dissease by blood test,"There is no cure for hairy cell leukemia. Although there is no treatment, chemotherapy or biological treatment that stimulates the immune system to fight cancer cells  could put hairy cell leukemia in remission for years. Hairy cell leukemia progresses slowly and might not require treatment if it does not cause any symptoms.","There is no cure for hairy cell leukemia. Although there is no treatment, chemotherapy or biological treatment that stimulates the immune system to fight cancer cells  could put hairy cell leukemia in remission for years. Hairy cell leukemia progresses slowly and might not require treatment if it does not cause any symptoms. ... Doctors consider chemotherapy drugs the first line of treatment for hairy cell leukemia. Treatment isn't always necessary for people with hairy cell leukemia.","hairy cell leukemia progresses slowly and might not require treatment if it does not cause any symptoms. if it does not cause any symptoms, chemotherapy or biological treatment could put hairy cell leukemia in remission for years.","hairy cell leukemia progresses slowly and may not require treatment. removing the spleen can't cure hairy cell leukemia, but it can restore normal blood counts."
how do you catch hepatitis c,"hepatitis C, is caused by the hepatitis C virus (HCV). Hepatitis C can be spread through contact with blood already infected by the virus. It can also spread through sex with an infected person and from mother to baby during childbirth.","hepatitis C, is caused by the hepatitis C virus (HCV). The hepatitis C virus spreads through contact with an infected person's blood The hepatitis C virus spreads through contact with an infected person's blood Hepatitis C can be spread through contact with blood already infected by the virus. It can also spread through sex with an infected person and from mother to baby during childbirth.",hepatitis c can be spread through contact with blood already infected by virus. it can be spread through sex sex with an affected individual or from the mother to her child during birth.,hepatitis c is caused by the hepatitis C virus (HCV) it spreads through contact with blood already infected by the virus. it spreads through contact with an infected person's blood.
I have been battling Anal fissure for close to two years now and it has refused to heal all these while. Please what do you suggest i do?  Thanks,"For persistent anal fissures your doctor may recommend externally applied nitroglycerin (Rectiv), to help increase blood flow to the fissure and promote healing and to help relax the anal sphincter. If you have a chronic anal fissure that is resistant to other treatments, or if your symptoms are severe, your doctor may recommend surgery, which involves cutting a small portion of the anal sphincter muscle to reduce spasm and pain, and promote healing. Nonsurgical treatments Your doctor may recommend: - Externally applied nitroglycerin (Rectiv), to help increase blood flow to the fissure and promote healing and to help relax the anal sphincter.","For persistent anal fissures your doctor may recommend externally applied nitroglycerin (Rectiv), to help increase blood flow to the fissure and promote healing and to help relax the anal sphincter. If you have a chronic anal fissure that is resistant to other treatments, or if your symptoms are severe, your doctor may recommend surgery, which involves cutting a small portion of the anal sphincter muscle to reduce spasm and pain, and promote healing. If you have a chronic anal fissure that is resistant to other treatments, or if your symptoms are severe, your doctor may recommend surgery, which involves cutting a small portion of the anal sphincter muscle to reduce spasm and pain, and promote healing. If you have a chronic anal fissure that is resistant to other treatments, or if your symptoms are severe, your doctor may recommend surgery. Nonsurgical treatments Your doctor may recommend: - Externally applied nitroglycerin (Rectiv), to help increase blood flow to the fissure and promote healing and to help relax the anal sphincter.",anal fissures are resistant to other treatments. nitroglycerin injections can help relax the anal sphincter muscle.,a sphincterotomy (LIS) involves cutting a small portion of the anal sphincter muscle. a warm water bath 2 to 3 times a day may help heal the affected skin. a sitz bath is a warm water bath used for healing or cleansing.
what is the cause of the coffin lowry syndrome?,"It is unclear how mutations in the DNA structure of the gene lead to the clinical findings. It is unclear how changes (mutations) in the DNA structure of the gene lead to the clinical findings. Coffin-Lowry syndrome is caused by a defective gene, RSK2, which is found in 1996 on the X chromosome (Xp22.2-p22.1), and is usually more severe in males because males have only one X chromosome.","Mutations in the RPS6KA3 gene cause Coffin-Lowry syndrome. Mutations in the RPS6KA3 gene cause Coffin-Lowry syndrome. In these cases, the cause of the condition is unknown. In these cases, the cause of the condition is unknown. The mutations  result in the production of little or no RPS6KA3 protein, but it is not clear how the lack of protein causes the signs and symptoms of Coffin-Lowry syndrome.","coffin lowry syndrome is caused by a defective gene, RSK2. it is usually more severe in males because males have only one X chromosome.","coffin-Lowry syndrome is caused by a defective gene, RSK2. it is found in 1996 on the X chromosome (Xp22.2-p22.1). it is usually more severe in males because males have only one X chromosome. mutations in the RPS6KA3 gene result in the production of little or no RPS6KA3 protein."
I have been suffering from lichen planus since last four years. Some time it reduces the red sign and sometime it increases  and I cannot take spicy food or hot food.   Could you please suggest the remedies. I had consulted the dermatologist also .He gave me some ointment named as clone taxol for applying towards the read area.   Awaiting your valuable advise I this behalf.   With kind regards.   Sent from my iPad,"Treatments for Lichen planus may include: antihistamines (in severe cases) that calm down the immune system; lidocaine mouthwashes for mouth sores, to numb the area and make eating more comfortable; topical corticosteroids or oral corticosteroids to reduce swelling and lower immune responses; corticosteroid shots into a sore, vitamin A as a cream or taken by mouth; dressings placed over your skin with medicines to keep you from scratching, and ultraviolet light therapy. Treatments may include: - Antihistamines - Medicines that calm down the immune system (in severe cases) - Lidocaine mouthwashes to numb the area and make eating more comfortable (for mouth sores) - Topical corticosteroids or oral corticosteroids to reduce swelling and lower immune responses - Corticosteroid shots into a sore - Vitamin A as a cream or taken by mouth - Other medicines that are applied to the skin - Dressings placed over your skin with medicines to keep you from scratching - Ultraviolet light therapy","Treatments for Lichen planus may include: antihistamines (in severe cases) that calm down the immune system; lidocaine mouthwashes for mouth sores, to numb the area and make eating more comfortable; topical corticosteroids or oral corticosteroids to reduce swelling and lower immune responses; corticosteroid shots into a sore, vitamin A as a cream or taken by mouth; dressings placed over your skin with medicines to keep you from scratching, and ultraviolet light therapy. Treatments may include: - Antihistamines - Medicines that calm down the immune system (in severe cases) - Lidocaine mouthwashes to numb the area and make eating more comfortable (for mouth sores) - Topical corticosteroids or oral corticosteroids to reduce swelling and lower immune responses - Corticosteroid shots into a sore - Vitamin A as a cream or taken by mouth - Other medicines that are applied to the skin - Dressings placed over your skin with medicines to keep you from scratching - Ultraviolet light therapy",lichen planus has been suffering from red sign since last four years. some time it reduces the red sign and some time it increases.,lichen planus has been suffering from red sign since last four years. some time it reduces the red sign and some time it increases. I cannot take spicy food or hot food.
X-linked congenital stationary night blindness i m suffering from similar or same decease.my mothers father suffered from same & my brother also.we have problem in low light infact cant view in damp conditions during day also have myopia but still not normal myopia cant see little object with clarity.life is looking like imprisonment.is there any chance for our recovery from this x linked decease.will we be able to see like normal ones.plz help. my age 38 y brother 44.address,People with this condition typically have difficulty seeing in low light. Autosomal recessive congenital stationary night blindness is a disorder of the retina. The symptoms are present from birth but tend to remain stable over time.,"People with this condition typically have difficulty seeing in low light. Autosomal recessive congenital stationary night blindness is a disorder of the retina. The symptoms are present from birth but tend to remain stable over time. The vision problems associated with this condition are congenital, which means they are present from birth. They tend to remain stable (stationary) over time.",x-linked congenital stationary night blindness is a disorder of the retina. people with this condition typically have difficulty seeing in low light.,x-linked congenital stationary night blindness is a disorder of the retina. people with this condition typically have difficulty seeing in low light. symptoms are present from birth but tend to remain stable over time.
how is congenital heart disease passed down,"These syndromes include DiGeorge syndrome, Down syndrome, Marfan syndrome, Noonan syndrome,Trisomy 13, and Turner syndrome Congenital heart disease can describe a number of different problems affecting the heart. Heart defects may be part of genetic and chromosomal syndromes which are passed down through families. Some of these syndromes may be passed down through families.","critical congenital heart disease (Genetic Changes): In most cases, the cause of CCHD is unknown. Some of these syndromes may be passed down through families. Heart defects may be part of genetic and chromosomal syndromes which are passed down through families. Congenital heart disease can describe a number of different problems affecting the heart. However, close relatives of people with congenital heart disease may have an increased risk of having a heart defect.","congenital heart disease passed down Heart defects may be part of genetic and chromosomal syndromes. these syndromes include diGeorge syndrome, down syndrome, marfan syndrome, noonan syndrome, trisomy 13 and Turner syndrome.",heart defects may be part of genetic and chromosomal syndromes. some of these syndromes may be passed down through families. mutations in individual genes have been associated with CCHD. mutations reduce the amount of protein produced which in turn impairs the formation of the heart.
"Can you mail me patient information about Glaucoma, I was recently diagnosed and want to learn all I can about the disease.",Your eye care professional applies a numbing drop to your eye and uses an ultrasonic wave instrument to measure the thickness of your cornea. Comprehensive dilated eye exam is needed to diagnose glaucoma. Your eye care professional uses a special magnifying lens to examine your retina and optic nerve for signs of damage and other eye problems.,"Glaucoma is diagnosed by a complete eye exam. Glaucoma can damage the optic nerve due to increased pressure in the eye. Even with treatment, about 15 percent of people with glaucoma become blind in at least one eye within 20 years. Even with treatment, about 15 percent of people with glaucoma become blind in at least one eye within 20 years. - Recently, new implants have been developed that can help treat glaucoma in people having cataract surgery.",can you mail me patient information about Glaucoma? dilated eye exam is needed to diagnose glaucoma.,"glaucoma is a group of eye conditions that can damage the optic nerve. glaucoma can cause blindness, headache, nausea and vomiting. glaucoma can cause a quick, severe rise in eye pressure."
prostate cancer using seeds aimed at maligmem tumors is this a safe decision,"- Cryosurgery - High-intensity-focused ultrasound therapy - Proton beam radiation therapy - Treatment to control cancer that is in the prostate and lessen urinary symptoms may include the following: - External radiation therapy. Standard treatments for prostate cancer include internal radiation therapy with radioactive seeds, as an alternative or combined with hormone therapy, surgery, external radiation, biologics, and bisphosphonate therapy. - Internal radiation therapy with radioactive seeds.","Placing radioactive seeds inside the prostate gland (brachytherapy) is often used for small prostate cancers that are found early and are slow-growing. - Cryosurgery - High-intensity-focused ultrasound therapy - Proton beam radiation therapy - Treatment to control cancer that is in the prostate and lessen urinary symptoms may include the following: - External radiation therapy. Brachytherapy is often used for small prostate cancers that are found early and are slow-growing. Standard treatments for prostate cancer include internal radiation therapy with radioactive seeds, as an alternative or combined with hormone therapy, surgery, external radiation, biologics, and bisphosphonate therapy. Brachytherapy involves placing radioactive seeds inside the prostate gland.",prostate cancer using seeds aimed at maligmem tumors is this a safe decision Standard treatments for prostate cancer include internal radiation therapy with radioactive seeds.,standard treatments for prostate cancer include internal radiation therapy with radioactive seeds. a surgeon inserts small needles through the skin beneath your scrotum to inject the seeds. the seeds are so small that you do not feel them.
